NAME_1,sheep_density_animals_per_km2_farmland,,,,,,,,,,,
Auckland,62.6,,,,,,,,,,,
Bay of Plenty,36.2,,,,,,,,,,,
Canterbury,166.4,,,,,,,,,,,
Gisborne,243.2,,,,,,,,,,,
Hawke's Bay,289.9,,,,,,,,,,,
Manawatu-Wanganui,328.8,,,,,,,,,,,
Marlborough,113.1,,,,,,,,,,,
Nelson,71.1,,,,,,,,,,,
Northland,32.6,,,,,,,,,,,
Otago,232.4,,,,,,,,,,,
Southland,286.1,,,,,,,,,,,
Taranaki,85.8,,,,,,,,,,,
Tasman,76.1,,,,,,,,,,,
Waikato,90.6,,,,,,,,,,,
Wellington,316.6,,,,,,,,,,,
West Coast,0,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,